schema,pos rule,pos keywords,pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis
标题,匹配,借据|收据|借条,法院审查借贷关系需依据借条、收据、收款确认书等多项证据予以确认。借款应出具借条，明确借款关系。,匹配,欠条|收条,欠条形成的原因有很多，既可以是借贷，也可以是买卖、承揽、劳资纠纷等其他法律关系，因此仅凭欠条尚不足以证明争讼钱款的性质。换句话说，借款肯定是欠款，但欠款不一定是借款。当欠条持有人凭欠条向法院起诉后，欠条持有人必须向法官陈述欠条形成的事实，如果对方对此事实进行否认、抗辩，欠条持有人必须进一步举证证明存在欠条形成事实。|收条是指债权人在收到钱款时向债务人出具证明还款事实的凭证，并不对债务人产生“还款（付息）赎条”的义务。因此收条反映的是给付关系，不反映债权债务关系，相反是用来消灭债权的。以收条作为证据向法院起诉，一般不会得到法院支持。,中,
借款人,识别,,"书写借条时，应载明出借人和
借款人的姓名、身份证号码、住址等信息，目的是确定借款关系中的债权人、债务人身份信息，可要求出借人在姓名、金额、日期等关键内容上捺印，以防偷换原件。",,,,高,
借款用途,识别,,借款人借款用于违法犯罪活动时，借贷合同无效,匹配,赌博|吸毒|枪,,高,
借款方式,识别,,"借款合同具有下列情形之一，视为合同成立：
　　（一）以现金支付的，自借款人收到借款时；
　　（二）以银行转账、网上电子汇款等形式支付的，自资金到达借款人账户时；
　　（三）以票据交付的，自借款人依法取得票据权利时；
　　（四）出借人将特定资金账户支配权授权给借款人的，自借款人取得对该账户实际支配权时；
　　（五）出借人以与借款人约定的其他方式提供借款并实际履行完成时。
以现金支付的，注意保留现金支付凭证，或让借款人出具《收条》。",,,,中,
借款金额,比对,识别大小写，以及大小写是否一致,"借款本金同时以汉字大写和小写表达，以防被篡改。
中文大写金额数字到“元”为止的，在“元”之后应写“整”（或“正”），“角”“分”之后不写“整”（或“正”）。中文大写金额数字书写中将“元”写成“圆”也是可以的。
如借条上的借款金额出现大小写不一致，根据日常生活经验和逻辑推理，一般以大写金额认定，除非有证据证明是所借钱款是小写金额。",,,,高,
借款期限,识别,,没有约定还款期限的借条，出借人可以随时要求借款人还款。,,,,高,
借款利率,比对,"现行民间借贷利率不得超过lpr的4倍，即14.8%
月利率=年利率/12
日利率=年利率/360、月利率/30
一分=1%，一厘=0.1%，若待审核文本中已写明利率，需计算年利率是否超过14.8%","利息的，人民法院应予支持，但是双方约定的利率超过合同成立时一年期贷款市场报价利率四倍的除外。
　　前款所称“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。
      人民法院在民间借贷纠纷案件审理过程中，对于各种以“利息”“违约金”“服务费”“中介费”“保证金”“延期费”等突破或变相突破法定利率红线的，依法不予支持。",,,,高,
还款日期,识别,,没有约定还款期限的借条，出借人可以随时要求借款人还款。,,,,高,
逾期利率,其他,"识别约定逾期利率|未识别到逾期利息
,但识别到借款利息|未识别到逾期利息
且未识别到借款利息",借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。|约定了借期内利率但是未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内利率支付资金占用期间利息的，人民法院应予支持。|既未约定借期内利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起承担逾期还款违约责任的，人民法院应予支持；。,,,,高,
预先扣除利息,识别,,借据、收据、欠条等债权凭证载明的借款金额，一般认定为本金。预先在本金中扣除利息的，人民法院应当将实际出借的金额认定为本金。,,,,高,
违约责任,识别,,出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持。,,,,高,
保证责任,关键词匹配,一般保证|连带责任保证,"当事人关于保证约定，应确定是一般保证还是连带责任保证：
一般保证的保证人在借款纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，法律另有规定的除外；
连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。|当事人关于保证约定，应确定是一般保证还是连带责任保证：
一般保证的保证人在借款纠纷未经审判或者仲裁，并就债务人财产依法强制执行仍不能履行债务前，有权拒绝向债权人承担保证责任，法律另有规定的除外；
连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。",,,,高,
担保条款—物保,识别,,"建议签署完整《借款合同》
《抵押合同》，并根据法律规定办理抵押登记。",,,,低,
签章,识别,,"借款人本人应签字、捺印，签名须与身份证所载姓名一致，且需附身份证号。应将借款人签名捺印的身份证复印件作为借条附件，或将身份证复印到借条背面或其他空白位置。
或要求借款人写明家庭住址和联系方式，以便后期诉讼立案需要。
如借款人已婚，建议由夫妻双方共同签字，以确认为夫妻共同债务，避免争议。",,,,高,
落款日期,识别,,"落款日期应为所借款项实际支付的日期。
借条末尾日期下面的空白处建议裁掉，防止单方修改。
从法律上讲，借条手写或打印都可以。但是，若借款人将事先写好的借条交给出借人的话，就不排除该借条中借款人的签名系由他人代签的可能。当出借人索款时借款人则可能以不是本人笔迹为由，拒绝偿还。所以，出借人可以尽量要求借款人当面书写借条。
若借条为打印稿，在借款人署名栏最好要求由借款人签名、盖章、按手印，并注意由债务人本人填写。",,,,中,
