schema,rule,risk level,legal advice
标题,识别,low,收据、取条只能证明款项的交付，在没有其他证据佐证的情况下，不足以证明交付该款项的性质。法院审查借贷关系需依据借条、收据、确认书等多项证据予以确认。借款应出具借条，明确写明是借款关系。
借款人,借款人姓名、身份证号识别,high,书写借条时，应载明出借人和借款人的姓名、身份证号码、住址等信息，目的是确定借款关系中的债权人、债务人。并可要求出借人在姓名、金额、日期等关键内容上捺印，以防借款人以复印件偷换原件。
借款用途,是否合法,high,借款人借款用于违法犯罪活动时，借贷合同无效
借款方式,是否为现金,medium,以现金支付的，注意保留现金支付凭证。
借款金额,识别大小写,high,"借款本金最好同时以汉字大写和小写表达，以防被篡改。
中文大写金额数字到“元”为止的，在“元”之后应写“整”（或“正”），“角”“分”之后不写“整”（或“正”）。中文大写金额数字书写中将“元”写成“圆”也是可以的。"
借款期限,识别借款时间,high,没有注明还款期限的借条，当事人可以随时要求还款。
借款利率,"现行民间借贷利率不得超过lpr的4倍，即14.8%
月利率=年利率/12
日利率=年利率/360、月利率/30
一分=1%，一厘=0.1%，若待审核文本中已写明利率，需计算年利率是否超过14.8%",high,借款利率应明确为年利率或月利率，同时大写标明。人民法院不予支持超过合同成立时一年期贷款市场报价利率四倍的利息。“一年期贷款市场报价利率”，是指中国人民银行授权全国银行间同业拆借中心自2019年8月20日起每月发布的一年期贷款市场报价利率。超过法律规定，人民法院将不予支持。
还款方式,,medium,
还款日期,,high,
逾期利率,既未约定借期内利率，也未约定逾期利率，人民法院支持出借人主张借款人自逾期还款之日起参照当时一年期贷款市场报价利率标准计算的利息承担逾期还款违约责任。,high,借贷双方对逾期利率有约定的，从其约定，但是以不超过合同成立时一年期贷款市场报价利率四倍为限。
预先扣除利息,识别,high,预先在本金中扣除利息的，人民法院将实际出借的金额认定为本金。
违约责任,识别,high,出借人与借款人既约定了逾期利率，又约定了违约金或者其他费用，出借人可以选择主张逾期利息、违约金或者其他费用，也可以一并主张，但是总计超过合同成立时一年期贷款市场报价利率四倍的部分，人民法院不予支持
保证责任,识别,high,"应写明担保人的保证责任，保证人为借款人提供连带责任保证，出借人仅起诉借款人的，人民法院可以不追加保证人为共同被告；出借人仅起诉保证人的，人民法院可以追加借款人为共同被告。
保证人为借款人提供一般保证，出借人仅起诉保证人的，人民法院应当追加借款人为共同被告；出借人仅起诉借款人的，人民法院可以不追加保证人为共同被告。"
保证期间,若无提示缺少,high,保证期间为上述债务履行期限届满之日起__。
担保条款—物保,识别,low,建议签署完整《借款合同》《抵押合同》，并根据法律规定做抵押登记。
签章,识别,high,"借款人本人应签字、按手印，并对借款人身份证原件复印存留，或要求借款人写明家庭住址和联系方式，以便后期诉讼立案需要。
如借款人已婚，建议由夫妻双方共同签字，以确认为夫妻共同债务，避免争议
"
落款日期,识别,medium,"落款日期应为所借款项实际支付的日期，并应大写。
借条末尾日期下面的空白处建议裁掉，乙方单方修改。"
