crime_plot,schema,sentences
二年内盗窃三次以上,行为,(两年|二年|2年).*(3次|4次|5次|6次|7次|8次|9次|10次|三次|四次|五次|六次|七次|八次|九次|十次)
携带凶器盗窃,行为,刀|枪|棍|棒|匕首|锤
入户盗窃,行为|地点,入.*室|入.*户|(爬|翻|撬门).*入.*(家|住处|寝室|宿舍|房|屋)
在公共场所或者公共交通工具上盗窃他人随身携带的财物,行为|地点,(公交车|大巴|地铁|高铁|火车|商场|广场|大街|公交站).*(身|裤子|衣服|口袋|包|袋子)
曾因盗窃受过刑事处罚,行为,刑事处罚|判刑|有期|拘役|管制
一年内因盗窃罪受过行政处罚,行为,(1年|一年).*(行政处罚|罚款|拘留|没收违法所得)
组织、控制未成年人盗窃,行为,(组织|控制|让|强迫).*(未成年|孩子)
在自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃,行为,自然灾害|事故灾害|社会安全事件|洪涝|地震|车祸|火灾|着火
盗窃残疾人、孤寡老人、丧失劳动能力人的财物,行为,残疾|老人|丧失劳动能力人|瘫痪|聋|失明|瞎|瘸
在医院盗窃病人或者其亲友财物,行为|地点,医院
盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物,行为,救灾|抢险|防汛|优抚|扶贫|移民|救济
因盗窃造成严重后果,行为,严重.*后果|后果.*严重
