factor,keyword1,keyword2
婚前购买,(婚前|结婚之前).*买,
婚后购买,(婚后|结婚之后).*买,
登记在您名下,(产权证|房本|房产证).*(写|登记|填).*(自己|我),
登记在双方名下,(产权证|房本|房产证).*(写|登记|填).*(两个人|我们两个),
登记在对方名下,(产权证|房本|房产证).*(写|登记|填).*(她|他|对方),
登记在子女名下,(产权证|房本|房产证).*(写|登记|填).*(孩|女儿|儿子),
登记在第三人名下,(产权证|房本|房产证).*(写|登记|填).*(别人|第三人),
您以个人财产还清房贷,(我|自己).*(还清|付清|给清).*(房贷|贷款|按揭),
您以个人财产还清房贷,(我|自己).*个人(工资|积蓄|储蓄|财产|存款).*(付钱|支付|出钱|出资|买),
您以个人财产还清房贷,(我|自己).*(付|出钱|出资|买).*房,
您全款买房,(我|自己).*(还清|付清|给清).*(房贷|贷款|按揭),
您全款买房,(我|自己).*(一次性|全款|全额).*(付|出钱|出资|买),
对方全款买房,(她|他|对方).*(还清|付清|给清).*(房贷|贷款|按揭),
对方全款买房,(她|他|对方).*个人(工资|积蓄|储蓄|财产|存款).*(付|出钱|出资|买),
对方全款买房,(她|他|对方).*(付|出钱|出资|买).*房,
对方以个人财产还清房贷,(她|他|对方).*(还清|付清|给清).*(房贷|贷款|按揭),
对方以个人财产还清房贷,(她|他|对方).*(一次性|全款|全额).*(付|出钱|出资|买),
对方婚前签订购房合同，婚后用共同财产还贷,(她|他|对方).*婚前.*(订|签).*房.*合同,(两个人|一起|双方|共同)还贷
您婚前签订购房合同，婚后用共同财产还贷,(我|自己).*婚前.*(买|付).*(首付|按揭),(两个人|一起|双方|共同)还贷
您婚前签订购房合同，婚后用共同财产还贷,(我|自己).*婚前.*(订|签).*房.*合同,(两个人|一起|双方|共同)还贷
对方父母全额出资,(她|他|对方)(父母|家|爸|妈).*(全款|全额).*(付|出钱|出资|买),
您方父母全额出资,我(父母|家|爸|妈).*(一次性|全款|全额).*(付|出钱|出资|买),
对方父母支付了房屋首付款，婚后共同还贷,(她|他|对方|他家)(父母|爸妈|爸|妈).*(给|交|付).*(首付|首付款|部分钱),(两个人|一起|双方|共同)还贷
您方父母支付了房屋首付款，婚后共同还贷,我(父母|爸妈|爸|妈).*(出|交|付|给).*(首付|首付款|部分钱),(两个人|一起|双方|共同)还贷
双方父母均出资,(双方父母|两家).*(一起|共同).*(付|出钱|出资|买),
双方父母均出资,(双方父母|两家).*(付|出钱|出资|买),
您以个人财产购买,(我|自己).*(还清|付清|给清).*(贷|按揭|贷款),
您以个人财产购买,(我|自己).*个人(工资|积蓄|储蓄|财产|存款).*(付钱|支付|出钱|出资|买),
您以个人财产购买,(我|自己).*(付|出钱|出资|买).*房,
对方以个人财产购买,(她|他|对方).*(还清|付清|给清).*(贷|按揭|贷款),
以共同财产购买,(一起|共同).*(付|出钱|出资|买).*房,
以共同财产购买,(一起|共同).*(工资|积蓄|储蓄|财产|存款).*房,
您父母全额出资,我(父母|家|爸|妈).*(一次性|全款|全额).*(付|出钱|出资|买),
对方父母部分出资，婚后夫妻双方共同还贷,(她|他|对方)(父母|家|爸|妈).*(交|付|给).*(首付|首付款|部分钱),(两个人|一起|双方|共同)还贷
您方父母部分出资，婚后夫妻双方共同还贷,我(父母|爸妈|爸|妈).*(出|交|付|给).*(首付|首付款|部分钱),(两个人|一起|双方|共同)还贷
双方父母出资,(双方父母|两家).*(一起|共同).*(付|出钱|出资|买),
双方父母出资,(双方父母|两家).*(付|出钱|出资|买),
