id,condition,conclusion
1,驾驶与准驾车型不符的机动车的,一次记12分
1,饮酒后驾驶机动车的,一次记12分
1,驾驶营运客车（不包括公共汽车）、校车载人超过核定人数20％以上的,一次记12分
1,造成交通事故后逃逸，尚不构成犯罪的,一次记12分
1,上道路行驶的机动车未悬挂机动车号牌的，或者故意遮挡、污损、不按规定安装机动车号牌的,一次记12分
1,使用伪造、变造的机动车号牌、行驶证、驾驶证、校车标牌、行驶证的,一次记12分
1,使用其他机动车号牌、行驶证的,一次记12分
1,驾驶机动车在高速公路上倒车、逆行、穿越中央分隔带掉头的,一次记12分
1,驾驶营运客车在高速公路车道内停车的,一次记12分
1,驾驶中型以上载客载货汽车、校车、危险物品运输车辆在高速公路、城市快速路上行驶超过规定时速20％以上的,一次记12分
1,驾驶中型以上载客载货汽车、校车、危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速50％以上的,一次记12分
1,驾驶其他机动车行驶超过规定时速50%以上的,一次记12分
1,连续驾驶中型以上载客汽车、危险物品运输车辆超过4小时未停车休息时间少于20分钟的,一次记12分
1,连续驾驶中型以上载客汽车、危险物品运输车辆超过4小时未停车休息时间少于20分钟的,一次记12分
1,未取得校车驾驶资格驾驶校车的,一次记12分
1,机动车驾驶证被暂扣期间驾驶机动车的,一次记6分
1,驾驶机动车违反道路交通信号灯通行的,一次记6分
1,驾驶营运客车（不包括公共汽车）、校车载人超过核定人数未达20％的,一次记6分
1,驾驶其他载客汽车载人超过核定人数20％以上的,一次记6分
1,驾驶中型以上载客载货汽车、校车、危险物品运输车辆在高速公路、城市快速路上行驶超过规定时速未达20％的,一次记6分
1,驾驶中型以上载客载货汽车、校车、危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的,一次记6分
1,驾驶其他机动车行驶超过规定时速20%以上未达到50%的,一次记6分
1,驾驶货车载物超过核定载质量30%以上或者违反规定载客的,一次记6分
1,驾驶营运客车以外的机动车在高速公路车道内停车的,一次记6分
1,驾驶机动车在高速公路或者城市快速路上违法占用应急车道行驶的,一次记6分
1,低能见度气象条件下，驾驶机动车在高速公路上不按规定行驶的,一次记6分
1,驾驶机动车运载超限的不可解体的物品，未按指定的时间、路线、速度行驶,一次记6分
1,驾驶机动车运载超限的不可解体的物品，未悬挂明显标志的,一次记6分
1,驾驶机动车载运爆炸物品、易燃易爆化学物品以及剧毒、放射性等危险物品，未按指定的时间、路线、速度行驶或者未悬挂警示标志并采取必要的安全措施的,一次记6分
1,以隐瞒、欺骗手段补领机动车驾驶证的,一次记6分
1,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息时间少于20分钟的,一次记6分
1,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息时间少于20分钟的,一次记6分
1,驾驶机动车不按照规定避让校车的,一次记6分
1,驾驶营运客车（不包括公共汽车）、校车以外的载客汽车载人超过核定人数未达20%的,一次记3分
1,驾驶中型以上载客载货汽车、危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的,一次记3分
1,驾驶其他机动车行驶超过规定时速未达20%的,一次记3分
1,驾驶货车载物超过核定载质量未达30%的,一次记3分
1,驾驶机动车在高速公路上行驶低于规定最低时速的,一次记3分
1,驾驶禁止驶入高速公路的机动车驶入高速公路的,一次记3分
1,驾驶机动车在高速公路或者城市快速路上不按规定车道行驶的,一次记3分
1,驾驶机动车行经人行横道，不按规定减速、停车、避让行人的,一次记3分
1,驾驶机动车违反禁令标志、禁止标线指示的,一次记3分
1,驾驶机动车不按规定超车、让行的，或者逆向行驶的,一次记3分
1,驾驶机动车违反规定牵引挂车的,一次记3分
1,在道路上车辆发生故障、事故停车后，不按规定使用灯光和设置警告标志的,一次记3分
1,上道路行驶的机动车未按规定定期进行安全技术检验的,一次记3分
1,驾驶机动车行经交叉路口不按规定行车或者停车的,一次记2分
1,驾驶机动车有拨打、接听手持电话等妨碍安全驾驶的行为的,一次记2分
1,驾驶二轮摩托车，不戴安全头盔的,一次记2分
1,驾驶机动车在高速公路或者城市快速路上行驶时，驾驶人未按规定系安全带的,一次记2分
1,驾驶机动车遇前方机动车停车排队或者缓慢行驶时，借道超车或者占用对面车道、穿插等候车辆的,一次记2分
1,不按照规定为校车配备安全设备,一次记2分
1,不按照规定对校车进行安全维护的,一次记2分
1,驾驶校车运载学生，不按照规定放置校车标牌、开启校车标志灯,一次记2分
1,驾驶校车运载学生，不按照经审核确定的线路行驶的,一次记2分
1,校车上下学生，不按照规定在校车停靠站点停靠的,一次记2分
1,校车未运载学生上道路行驶，使用校车标牌、校车标志灯和停车指示标志的,一次记2分
1,驾驶校车上道路行驶前，未对校车车况是否符合安全技术要求进行检查,一次记2分
1,驾驶存在安全隐患的校车上道路行驶的,一次记2分
1,在校车载有学生时给车辆加油,一次记2分
1,在校车发动机引擎熄灭前离开驾驶座位的,一次记2分
1,驾驶机动车不按规定使用灯光的,一次记1分
1,驾驶机动车不按规定会车的,一次记1分
1,驾驶机动车载货长度、宽度、高度超过规定的,一次记1分
1,上道路行驶的机动车未放置检验合格标志、保险标志，未随车携带行驶证、机动车驾驶证的,一次记1分
